scenario,positive_pairs,negative_pairs,dataset_rows
graph_SOR2_D1_seed42,2,4,6
graph_SOR2_D2_seed42,4,24,28
graph_SOR2_D3_seed42,9,57,66
graph_SOR2_D4_seed42,13,107,120
graph_SOR2_D5_seed42,25,165,190
graph_SOR4_D1_seed42,9,19,28
graph_SOR4_D2_seed42,27,93,120
graph_SOR4_D3_seed42,48,228,276
graph_SOR4_D4_seed42,82,414,496
graph_SOR4_D5_seed42,121,659,780
graph_SOR8_D1_seed42,23,55,78
graph_SOR8_D2_seed42,64,261,325
graph_SOR8_D3_seed42,149,592,741
graph_SOR8_D4_seed42,247,1079,1326
graph_SOR8_D5_seed42,395,1685,2080
graph_SOR16_D1_seed42,17,61,78
graph_SOR16_D2_seed42,46,279,325
graph_SOR16_D3_seed42,109,632,741
graph_SOR16_D4_seed42,192,1134,1326
graph_SOR16_D5_seed42,309,1771,2080
